username,password,role,name,surname,email,phone,address
hakan.unal,hakan123,customer,hakan,unal,hakan.unal@gmail.com,+905068031503,Baris Mahallesi Gunes Sitesi Daire 26 Karsiyaka IZMIR
ali.altundal,ali123,employee,ali,altundal,ali.altundal@gmail.com,+905712861568,Ataturk Mahallesi Zambak Rezidans Daire 41 Gaziemir IZMIR
elif.sahin,elif123,employee,elif,sahin,elif.sahin@gmail.com,+905051550412,Baris Mahallesi Nil Apartmani Daire 35 Buca IZMIR
yasemin.unal,yasemin123,customer,yasemin,unal,yasemin.unal@gmail.com,+905386073733,Inonu Mahallesi Zambak Rezidans Daire 16 Balcova IZMIR
burak.altundal,burak123,manager,burak,altundal,burak.altundal@gmail.com,+905587293299,Cumhuriyet Mahallesi Zambak Rezidans Daire 45 Torbali IZMIR
omer.aydin,omer123,manager,omer,aydin,omer.aydin@gmail.com,+905582264238,Inonu Mahallesi Cinar Evleri Daire 36 Bayrakli IZMIR
ayse.unal,ayse123,employee,ayse,unal,ayse.unal@gmail.com,+905024560528,Ataturk Mahallesi Cinar Evleri Daire 34 Torbali IZMIR
melis.ozkan,melis123,employee,melis,ozkan,melis.ozkan@gmail.com,+905881649847,Cumhuriyet Mahallesi Nil Apartmani Daire 29 Balcova IZMIR
buse.acar,buse123,employee,buse,acar,buse.acar@gmail.com,+905090958090,Ataturk Mahallesi Lale Konaklari Daire 34 Karsiyaka IZMIR
mert.demir,mert123,employee,mert,demir,mert.demir@gmail.com,+905133962021,Ataturk Mahallesi Lale Konaklari Daire 50 Balcova IZMIR
ahmet.acar,ahmet123,employee,ahmet,acar,ahmet.acar@gmail.com,+905722035193,Ataturk Mahallesi Zambak Rezidans Daire 29 Buca IZMIR
ece.kaya,ece123,customer,ece,kaya,ece.kaya@gmail.com,+905199140032,Mevlana Mahallesi Cinar Evleri Daire 38 Bornova IZMIR
emre.aydin,emre123,employee,emre,aydin,emre.aydin@gmail.com,+905268953420,Cumhuriyet Mahallesi Gunes Sitesi Daire 46 Torbali IZMIR
mehmet.sahin,mehmet123,employee,mehmet,sahin,mehmet.sahin@gmail.com,+905700564377,Inonu Mahallesi Nil Apartmani Daire 14 Torbali IZMIR
semih.utku,semih123,manager,semih,utku,semih.utku@gmail.com,+905593866411,Inonu Mahallesi Nil Apartmani Daire 3 Bornova IZMIR
fatma.kaya,fatma123,employee,fatma,kaya,fatma.kaya@gmail.com,+905270328859,Baris Mahallesi Gunes Sitesi Daire 37 Narlidere IZMIR
zeynep.kaya,zeynep123,employee,zeynep,kaya,zeynep.kaya@gmail.com,+905634835956,Cumhuriyet Mahallesi Nil Apartmani Daire 14 Balcova IZMIR
kerem.unal,kerem123,employee,kerem,unal,kerem.unal@gmail.com,+905755354858,Mevlana Mahallesi Nil Apartmani Daire 22 Karsiyaka IZMIR
